Company Name,Car Name,Variant,Fuel Type,Tyre Condition,Make Year,Owner Type,Registration Number,Mileage,Price,Transmission Type,Body Color,Service Record,Insurance,Registration Certificate,Accessories
Maruti Suzuki,Cruze,EX,CNG,Needs Replacement,2018.0,Second,84-436-5584,52798.0,759107.0,Manual,Grey,Major Service at 50418 km,No Current Insurance,Not Available,"Music System, Sunroof, Alloy Wheels"
Kia,Seltos,RXE,Petrol,New,2020.0,Third,79-114-3166,43412.0,505071.0,Automatic,Maroon,Major Service at 131313 km,No Current Insurance,Available,Sunroof
Kia,Accord,RXE,Petrol,New,2022.0,Second,41-358-3344,95219.0,635322.0,Automatic (Tiptronic),Black,No Service Record,No Current Insurance,Available,Sunroof
Nissan,Seltos,Highline,Diesel,Used,2024.0,Third,92-708-1763,70370.0,483152.0,Automatic (Tiptronic),Maroon,Major Service at 98115 km,Valid Until [date],Available,"Music System, Alloy Wheels"
Chevrolet,Kwid,Highline,Petrol,Used,2018.0,Second,76-154-5485,85852.0,712961.0,Automatic (Tiptronic),Silver,Major Service at 135665 km,No Current Insurance,Not Available,"GPS, Music System"
Volkswagen,Cruze,LE,Petrol,New,2021.0,Second,21-711-8793,28516.0,209930.0,Automatic,Gold,Major Service at 63857 km,No Current Insurance,Available,"Sunroof, Music System, Leather Seats"
Maruti Suzuki,Camry,LE,CNG,Used,2017.0,Third,92-504-4180,70676.0,550187.0,Automatic,Red,Full Service History,Valid Until [date],Not Available,GPS
Toyota,F-150,LE,CNG,New,2021.0,Second,78-995-2467,197377.0,344563.0,Automatic,Black,No Service Record,Valid Until [date],Not Available,"GPS, Leather Seats"
Volkswagen,Kwid,ZXI,Petrol,New,2022.0,Third,87-719-2138,155320.0,596554.0,Manual,Grey,Full Service History,No Current Insurance,Available,"GPS, Music System, Sunroof, Leather Seats"
Ford,Swift,GT,Petrol,Used,2018.0,Second,41-421-7619,16544.0,387560.0,Manual,White,Full Service History,Valid Until [date],Not Available,"Music System, Leather Seats, Alloy Wheels"
Chevrolet,Sunny,LE,CNG,Used,2019.0,Third,74-685-5799,56900.0,398364.0,Automatic,Blue,Full Service History,Valid Until [date],Available,"Leather Seats, Music System, Alloy Wheels, GPS"
Renault,Seltos,SL,Diesel,Used,2022.0,Third,30-582-1226,180803.0,878665.0,Manual,Grey,Full Service History,No Current Insurance,Available,GPS
Nissan,Polo,GT,Petrol,New,2019.0,Third,26-123-2714,49463.0,358621.0,Manual,Silver,No Service Record,Valid Until [date],Not Available,Leather Seats
Chevrolet,Camry,LE,Petrol,New,2019.0,Third,17-472-2864,91642.0,398425.0,Manual,Silver,Major Service at 107494 km,Valid Until [date],Not Available,"Sunroof, GPS"
Ford,F-150,GT,Diesel,Used,2021.0,First,52-526-8025,181160.0,400648.0,Manual,Blue,Full Service History,Valid Until [date],Available,"Alloy Wheels, Leather Seats, Music System"
Ford,Camry,Highline,CNG,Needs Replacement,2024.0,Second,75-142-3982,50017.0,837833.0,Automatic (Tiptronic),Grey,Major Service at 133362 km,Valid Until [date],Available,"Sunroof, GPS, Leather Seats, Alloy Wheels"
Nissan,Sunny,SE,CNG,New,2020.0,Third,77-837-4210,15287.0,974120.0,Automatic (Tiptronic),Gold,Full Service History,Valid Until [date],Available,"Leather Seats, Alloy Wheels, Music System"
Volkswagen,Swift,GT,Diesel,New,2015.0,Third,70-996-7410,44927.0,286013.0,Automatic (Tiptronic),Blue,No Service Record,No Current Insurance,Available,GPS
Renault,Sunny,ZXI,CNG,New,2018.0,First,63-164-7921,21253.0,630268.0,Automatic,Maroon,No Service Record,Valid Until [date],Not Available,GPS
Kia,Polo,Highline,CNG,Needs Replacement,2016.0,First,19-313-1460,84675.0,356006.0,Automatic (Tiptronic),Grey,No Service Record,No Current Insurance,Not Available,"Alloy Wheels, GPS"
Toyota,Sunny,EX,Petrol,Needs Replacement,2016.0,Third,17-521-9471,102088.0,709912.0,Manual,Black,Full Service History,Valid Until [date],Available,GPS
Maruti Suzuki,Cruze,LE,Petrol,New,2021.0,Second,18-319-9342,164133.0,688565.0,Automatic (Tiptronic),Maroon,No Service Record,No Current Insurance,Not Available,Leather Seats
Kia,Accord,LE,Diesel,Used,2019.0,Third,54-547-5118,181920.0,232657.0,Automatic,White,Major Service at 146566 km,No Current Insurance,Not Available,"Leather Seats, GPS, Alloy Wheels, Sunroof"
Hyundai,Polo,RXE,Diesel,Needs Replacement,2017.0,Third,51-586-2243,61544.0,657242.0,Manual,Red,Full Service History,Valid Until [date],Available,Music System
Honda,Elantra,LE,Petrol,New,2016.0,Second,44-704-1672,102701.0,512711.0,Manual,Grey,Full Service History,No Current Insurance,Available,Leather Seats
Kia,Polo,RXE,CNG,Needs Replacement,2015.0,First,31-415-6382,189775.0,837946.0,Manual,White,Major Service at 66929 km,Valid Until [date],Not Available,"Music System, Alloy Wheels, Leather Seats"
Hyundai,Elantra,EX,Petrol,Used,2024.0,Second,83-923-7359,56335.0,212790.0,Automatic,Red,No Service Record,No Current Insurance,Not Available,"GPS, Leather Seats, Music System, Sunroof"
Ford,Accord,LE,Petrol,New,2024.0,Second,87-231-6139,176050.0,649268.0,Automatic (Tiptronic),Silver,Major Service at 127053 km,Valid Until [date],Not Available,Sunroof
Volkswagen,F-150,SL,Petrol,New,2022.0,Third,44-867-3698,183007.0,477414.0,Automatic,Red,No Service Record,No Current Insurance,Available,"Music System, Alloy Wheels, Leather Seats"
Renault,Seltos,XL,Petrol,Used,2022.0,Third,97-119-7893,52675.0,778551.0,Automatic (Tiptronic),Silver,Major Service at 84242 km,Valid Until [date],Available,"Alloy Wheels, GPS, Music System"
Volkswagen,Sunny,XL,CNG,New,2018.0,Second,88-432-1473,52809.0,565267.0,Manual,Gold,No Service Record,Valid Until [date],Available,Sunroof
Ford,Polo,LE,Diesel,Needs Replacement,2019.0,Second,59-837-2061,124211.0,742015.0,Automatic (Tiptronic),Red,Full Service History,No Current Insurance,Not Available,"Music System, Alloy Wheels, Sunroof"
Volkswagen,Accord,XL,Petrol,Needs Replacement,2020.0,Second,95-153-6797,194101.0,547651.0,Automatic,Gold,No Service Record,Valid Until [date],Not Available,Music System
Honda,Accord,SL,Diesel,Used,2023.0,Third,53-119-8394,172437.0,825256.0,Automatic (Tiptronic),White,No Service Record,No Current Insurance,Not Available,GPS
Toyota,Camry,GT,CNG,Used,2021.0,Third,93-831-1957,58032.0,772891.0,Automatic,Grey,Major Service at 56247 km,Valid Until [date],Not Available,Sunroof
Honda,F-150,RXE,CNG,Needs Replacement,2018.0,Third,15-899-8312,33302.0,442808.0,Manual,Gold,Full Service History,Valid Until [date],Available,"Alloy Wheels, Music System, Sunroof, GPS"
Volkswagen,Sunny,XL,CNG,Needs Replacement,2020.0,First,35-632-3003,117975.0,419685.0,Automatic,Black,Full Service History,Valid Until [date],Not Available,Leather Seats
Volkswagen,Elantra,LE,Petrol,Needs Replacement,2020.0,Second,86-865-5627,38775.0,386004.0,Automatic,Grey,Full Service History,Valid Until [date],Available,Sunroof
Hyundai,Sunny,EX,Petrol,New,2019.0,Second,69-150-5598,46025.0,527376.0,Manual,Grey,No Service Record,No Current Insurance,Not Available,Sunroof
Maruti Suzuki,F-150,Highline,CNG,New,2020.0,First,96-533-2831,13636.0,918001.0,Manual,Red,No Service Record,Valid Until [date],Available,Sunroof
Kia,Swift,RXE,CNG,Needs Replacement,2017.0,First,28-116-5026,175579.0,261940.0,Manual,Grey,No Service Record,Valid Until [date],Not Available,Music System
Ford,Seltos,EX,CNG,Needs Replacement,2024.0,Third,45-211-7187,23580.0,671305.0,Automatic (Tiptronic),White,Major Service at 130320 km,No Current Insurance,Not Available,"Sunroof, GPS, Music System, Leather Seats"
Honda,Sunny,SL,Diesel,New,2019.0,First,30-638-4852,136043.0,891031.0,Automatic (Tiptronic),Gold,Major Service at 111891 km,No Current Insurance,Available,"Leather Seats, GPS"
