Tyre Condition,Make Year,Registration Number,Mileage,Price,Service Record,Insurance,Registration Certificate,Accessories,Car Age,Price per Mile,Company Name_Ford,Company Name_Honda,Company Name_Hyundai,Company Name_Kia,Company Name_Maruti Suzuki,Company Name_Nissan,Company Name_Renault,Company Name_Toyota,Company Name_Volkswagen,Car Name_Camry,Car Name_Cruze,Car Name_Elantra,Car Name_F-150,Car Name_Kwid,Car Name_Polo,Car Name_Seltos,Car Name_Sunny,Car Name_Swift,Variant_GT,Variant_Highline,Variant_LE,Variant_RXE,Variant_SE,Variant_SL,Variant_XL,Variant_ZXI,Fuel Type_Diesel,Fuel Type_Petrol,Transmission Type_Automatic (Tiptronic),Transmission Type_Manual,Body Color_Blue,Body Color_Gold,Body Color_Grey,Body Color_Maroon,Body Color_Red,Body Color_Silver,Body Color_White,Owner Type_Second,Owner Type_Third
Needs Replacement,2018.0,84-436-5584,-0.9360099165326347,0.6535914491029867,Major Service at 50418 km,No Current Insurance,Not Available,"Music System, Sunroof, Alloy Wheels",0.525856040630584,0.4231440886230224,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
New,2020.0,79-114-3166,-1.105025388479412,-0.4460843139315213,Major Service at 131313 km,No Current Insurance,Available,Sunroof,-0.16533223569773342,0.17414236659331753,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
New,2022.0,41-358-3344,-0.17212697007469396,0.11774863813435796,No Service Record,No Current Insurance,Available,Sunroof,-0.8565205120260508,-0.27627296483300967,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
Used,2024.0,92-708-1763,-0.6195875989267571,-0.5409676889254331,Major Service at 98115 km,Valid Until [date],Available,"Music System, Alloy Wheels",-1.5477087883543683,-0.2586942485733246,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True
Used,2018.0,76-154-5485,-0.34080030543858286,0.45383378577577954,Major Service at 135665 km,No Current Insurance,Not Available,"GPS, Music System",0.525856040630584,-0.12810708623317654,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False
New,2021.0,21-711-8793,-1.3732604694637707,-1.7236961657075205,Major Service at 63857 km,No Current Insurance,Available,"Sunroof, Music System, Leather Seats",-0.5109263738618921,-0.21367657819517188,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
Used,2017.0,92-504-4180,-0.6140773992233995,-0.25078533376703727,Full Service History,Valid Until [date],Not Available,GPS,0.8714501787947426,-0.1752984481931891,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
New,2021.0,78-995-2467,1.6674514001723608,-1.140894330516347,No Service Record,Valid Until [date],Not Available,"GPS, Leather Seats",-0.5109263738618921,-0.7234535883717573,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
New,2022.0,87-719-2138,0.9101230703550153,-0.05007100152821666,Full Service History,No Current Insurance,Available,"GPS, Music System, Sunroof, Leather Seats",-0.8565205120260508,-0.5332811121267783,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True
Used,2018.0,41-421-7619,-1.5888425310604908,-0.95476811697498,Full Service History,Valid Until [date],Not Available,"Music System, Leather Seats, Alloy Wheels",0.525856040630584,1.2444739913730336,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
Used,2019.0,74-685-5799,-0.8621444290059269,-0.9079995607710372,Full Service History,Valid Until [date],Available,"Leather Seats, Music System, Alloy Wheels, GPS",0.18026190246642526,-0.246418072345136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Used,2022.0,30-582-1226,1.369000256762401,1.1711363438300322,Full Service History,No Current Insurance,Available,GPS,-0.8565205120260508,-0.44078745261530256,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
New,2019.0,26-123-2714,-0.9960638904238026,-1.0800397985730827,No Service Record,Valid Until [date],Not Available,Leather Seats,0.18026190246642526,-0.2238014465138706,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
New,2019.0,17-472-2864,-0.2365386836005433,-0.9077355028361574,Major Service at 107494 km,Valid Until [date],Not Available,"Sunroof, GPS",0.18026190246642526,-0.4872770622073832,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
Used,2021.0,52-526-8025,1.3754288230829845,-0.8981125390781636,Full Service History,Valid Until [date],Available,"Alloy Wheels, Leather Seats, Music System",-0.5109263738618921,-0.6811673512539723,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Needs Replacement,2024.0,75-142-3982,-0.9860879079543252,0.9943820225675928,Major Service at 133362 km,Valid Until [date],Available,"Sunroof, GPS, Leather Seats, Alloy Wheels",-1.5477087883543683,0.638577705601829,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
New,2020.0,77-837-4210,-1.611477567096832,1.5843437237307507,Full Service History,Valid Until [date],Available,"Leather Seats, Alloy Wheels, Music System",-0.16533223569773342,4.902162729359841,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
New,2015.0,70-996-7410,-1.07774449779122,-1.3943466598148342,No Service Record,No Current Insurance,Available,GPS,1.56263845512306,-0.3040529383583923,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
